id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
10665364,MDEwOlJlcG9zaXRvcnkxMDY2NTM2NA==,CMS-GoogleMaps-Socrata-Integration,CMSgov/CMS-GoogleMaps-Socrata-Integration,False,https://github.com/CMSgov/CMS-GoogleMaps-Socrata-Integration,Google Maps and Socrata Integration (originally developed for innovation.cms.gov),False,https://api.github.com/repos/CMSgov/CMS-GoogleMaps-Socrata-Integration,2013-06-13T12:11:21Z,2020-02-20T19:57:51Z,2013-06-17T12:46:57Z,,140,7,7,JavaScript,True,True,True,True,False,False,8,,False,False,0,True,False,False,[],public,8,0,7,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
25919686,MDEwOlJlcG9zaXRvcnkyNTkxOTY4Ng==,newrelic_mysql_java_plugin,CMSgov/newrelic_mysql_java_plugin,False,https://github.com/CMSgov/newrelic_mysql_java_plugin,MySQL Metrics Plugin,True,https://api.github.com/repos/CMSgov/newrelic_mysql_java_plugin,2014-10-29T12:23:48Z,2020-02-13T12:56:40Z,2014-10-29T12:16:41Z,,39644,2,2,,False,True,True,False,False,False,4,,False,False,0,True,False,False,[],public,4,0,2,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
30428143,MDEwOlJlcG9zaXRvcnkzMDQyODE0Mw==,HealthCare.gov-Styleguide,CMSgov/HealthCare.gov-Styleguide,False,https://github.com/CMSgov/HealthCare.gov-Styleguide,CMS Developer Site,False,https://api.github.com/repos/CMSgov/HealthCare.gov-Styleguide,2015-02-06T19:04:18Z,2024-08-27T10:21:07Z,2023-05-18T23:05:55Z,,43679,58,58,CSS,True,True,True,True,True,False,20,,True,False,6,True,False,False,[],public,20,6,58,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
33131036,MDEwOlJlcG9zaXRvcnkzMzEzMTAzNg==,QHP-provider-formulary-APIs,CMSgov/QHP-provider-formulary-APIs,False,https://github.com/CMSgov/QHP-provider-formulary-APIs,,False,https://api.github.com/repos/CMSgov/QHP-provider-formulary-APIs,2015-03-30T15:21:26Z,2024-09-27T06:59:44Z,2021-12-02T15:36:51Z,,48,40,40,HTML,True,True,True,True,True,False,21,,False,False,26,True,False,False,[],public,21,26,40,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,unlicense,The Unlicense,Unlicense,https://api.github.com/licenses/unlicense,MDc6TGljZW5zZTE1,False,False,False,False,True,
49071798,MDEwOlJlcG9zaXRvcnk0OTA3MTc5OA==,bluebutton-data-server,CMSgov/bluebutton-data-server,False,https://github.com/CMSgov/bluebutton-data-server,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,False,https://api.github.com/repos/CMSgov/bluebutton-data-server,2016-01-05T14:43:54Z,2023-01-28T17:23:14Z,2019-08-30T16:59:42Z,https://github.com/CMSgov/beneficiary-fhir-data,28574,23,23,Java,False,False,True,False,False,False,8,,True,False,0,True,False,False,[],public,8,0,23,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
49209900,MDEwOlJlcG9zaXRvcnk0OTIwOTkwMA==,hapi-fhir,CMSgov/hapi-fhir,False,https://github.com/CMSgov/hapi-fhir,HAPI FHIR - Java API for HL7 FHIR Clients and Servers,True,https://api.github.com/repos/CMSgov/hapi-fhir,2016-01-07T14:40:27Z,2024-01-22T21:42:44Z,2024-01-18T00:38:04Z,,266942,0,0,Java,False,True,True,True,False,False,5,,True,False,16,True,False,False,[],public,5,16,0,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
50062960,MDEwOlJlcG9zaXRvcnk1MDA2Mjk2MA==,bluebutton-web-server,CMSgov/bluebutton-web-server,False,https://github.com/CMSgov/bluebutton-web-server,Blue Button API,False,https://api.github.com/repos/CMSgov/bluebutton-web-server,2016-01-20T21:52:00Z,2024-12-16T23:58:40Z,2024-12-18T18:36:57Z,https://sandbox.bluebutton.cms.gov,966397,40,40,Python,True,True,True,False,False,False,24,,False,False,7,True,False,False,"['django', 'fhir-server', 'oauth-provider', 'oauth-server', 'oauth2-server']",public,24,7,40,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
50108974,MDEwOlJlcG9zaXRvcnk1MDEwODk3NA==,bluebutton-text-to-fhir,CMSgov/bluebutton-text-to-fhir,False,https://github.com/CMSgov/bluebutton-text-to-fhir,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,False,https://api.github.com/repos/CMSgov/bluebutton-text-to-fhir,2016-01-21T13:22:01Z,2023-01-28T17:23:15Z,2016-02-22T14:22:27Z,https://github.com/CMSgov/beneficiary-fhir-data,54,0,0,Java,True,True,True,True,False,False,5,,True,False,0,True,False,False,[],public,5,0,0,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
50124180,MDEwOlJlcG9zaXRvcnk1MDEyNDE4MA==,bluebutton-parent-pom,CMSgov/bluebutton-parent-pom,False,https://github.com/CMSgov/bluebutton-parent-pom,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,False,https://api.github.com/repos/CMSgov/bluebutton-parent-pom,2016-01-21T17:28:52Z,2023-01-28T17:23:15Z,2019-08-19T23:44:18Z,https://github.com/CMSgov/beneficiary-fhir-data,72,0,0,Python,True,True,True,True,False,False,8,,True,False,0,True,False,False,[],public,8,0,0,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
52884325,MDEwOlJlcG9zaXRvcnk1Mjg4NDMyNQ==,bluebutton-data-pipeline,CMSgov/bluebutton-data-pipeline,False,https://github.com/CMSgov/bluebutton-data-pipeline,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,False,https://api.github.com/repos/CMSgov/bluebutton-data-pipeline,2016-03-01T14:49:19Z,2023-01-28T17:23:15Z,2019-08-05T12:46:27Z,https://github.com/CMSgov/beneficiary-fhir-data,36014,5,5,Java,True,True,True,True,False,False,3,,True,False,0,True,False,False,[],public,3,0,5,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
54979047,MDEwOlJlcG9zaXRvcnk1NDk3OTA0Nw==,bluebutton-data-server-perf-tests,CMSgov/bluebutton-data-server-perf-tests,False,https://github.com/CMSgov/bluebutton-data-server-perf-tests,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,False,https://api.github.com/repos/CMSgov/bluebutton-data-server-perf-tests,2016-03-29T13:42:05Z,2023-01-28T17:23:15Z,2019-08-30T14:40:27Z,https://github.com/CMSgov/beneficiary-fhir-data,474,1,1,Java,False,False,True,False,False,False,5,,True,False,0,True,False,False,[],public,5,0,1,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
55293822,MDEwOlJlcG9zaXRvcnk1NTI5MzgyMg==,bluebutton-functional-tests,CMSgov/bluebutton-functional-tests,False,https://github.com/CMSgov/bluebutton-functional-tests,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,False,https://api.github.com/repos/CMSgov/bluebutton-functional-tests,2016-04-02T12:40:50Z,2023-01-28T17:23:15Z,2016-04-04T12:53:34Z,https://github.com/CMSgov/beneficiary-fhir-data,143,0,0,Java,True,True,True,True,False,False,5,,True,False,0,True,False,False,[],public,5,0,0,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
67132680,MDEwOlJlcG9zaXRvcnk2NzEzMjY4MA==,BenefitAssist,CMSgov/BenefitAssist,False,https://github.com/CMSgov/BenefitAssist,Benefit Assist,False,https://api.github.com/repos/CMSgov/BenefitAssist,2016-09-01T13:16:45Z,2023-01-28T11:39:55Z,2018-05-02T02:52:26Z,,100,14,14,JavaScript,True,True,True,True,False,False,8,,True,False,0,True,False,False,[],public,8,0,14,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
75971663,MDEwOlJlcG9zaXRvcnk3NTk3MTY2Mw==,oopc-calculations,CMSgov/oopc-calculations,False,https://github.com/CMSgov/oopc-calculations,This code fragment represents the portion of programming that calculates the estimated out of pocket cost for a given household under a specific plan within the Window Shopping experience on HealthCare.gov.,False,https://api.github.com/repos/CMSgov/oopc-calculations,2016-12-08T20:13:15Z,2024-08-29T22:01:02Z,2016-12-13T15:53:40Z,https://www.healthcare.gov/see-plans/,10,0,0,Go,False,True,True,False,False,False,5,,True,False,0,True,False,False,[],public,5,0,0,oopc-calc,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
76274247,MDEwOlJlcG9zaXRvcnk3NjI3NDI0Nw==,coverage-inspector,CMSgov/coverage-inspector,False,https://github.com/CMSgov/coverage-inspector,"A tool for inspecting plan coverage of providers, facilities, and drugs",False,https://api.github.com/repos/CMSgov/coverage-inspector,2016-12-12T16:25:14Z,2024-08-29T22:10:59Z,2019-11-21T06:54:18Z,,20,0,0,,True,True,True,True,True,False,7,,True,False,0,True,False,False,[],public,7,0,0,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,,,,,,False,False,False,False,True,
78230762,MDEwOlJlcG9zaXRvcnk3ODIzMDc2Mg==,qpp-measures-data,CMSgov/qpp-measures-data,False,https://github.com/CMSgov/qpp-measures-data,QPP Measures Data,False,https://api.github.com/repos/CMSgov/qpp-measures-data,2017-01-06T18:57:02Z,2024-12-17T18:43:53Z,2024-12-17T18:43:50Z,,44968,90,90,TypeScript,True,False,True,False,False,False,46,,False,False,2,True,False,False,[],public,46,2,90,develop,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,,,,,,False,False,False,False,True,
79369721,MDEwOlJlcG9zaXRvcnk3OTM2OTcyMQ==,bluebutton-ansible-playbooks-data-sandbox,CMSgov/bluebutton-ansible-playbooks-data-sandbox,False,https://github.com/CMSgov/bluebutton-ansible-playbooks-data-sandbox,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,False,https://api.github.com/repos/CMSgov/bluebutton-ansible-playbooks-data-sandbox,2017-01-18T18:20:44Z,2023-01-28T17:23:16Z,2018-04-02T21:15:32Z,https://github.com/CMSgov/beneficiary-fhir-data,90,0,0,Python,False,False,True,False,False,False,3,,True,False,0,True,False,False,[],public,3,0,0,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
81160818,MDEwOlJlcG9zaXRvcnk4MTE2MDgxOA==,design-system,CMSgov/design-system,False,https://github.com/CMSgov/design-system,"Open source design and front-end development resources for creating Section 508 compliant, responsive, and consistent websites.",False,https://api.github.com/repos/CMSgov/design-system,2017-02-07T03:13:01Z,2024-12-18T17:42:12Z,2024-12-18T17:42:11Z,https://design.cms.gov,1881853,319,319,TypeScript,True,False,True,False,True,True,87,,False,False,12,True,False,False,"['a11y', 'civic-tech', 'css', 'design-system', 'dotgov', 'government', 'government-tech', 'guidelines', 'react', 'sass', 'section-508', 'utility-classes']",public,87,12,319,main,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
81481099,MDEwOlJlcG9zaXRvcnk4MTQ4MTA5OQ==,qpp-submissions-docs,CMSgov/qpp-submissions-docs,False,https://github.com/CMSgov/qpp-submissions-docs,Developer documentation for building against the QPP Submissions API,False,https://api.github.com/repos/CMSgov/qpp-submissions-docs,2017-02-09T18:24:34Z,2024-10-30T20:31:14Z,2024-11-18T22:40:41Z,https://cmsgov.github.io/qpp-submissions-docs,11612,8,8,TypeScript,True,False,True,False,True,False,8,,False,False,1,True,False,False,[],public,8,1,8,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
83158366,MDEwOlJlcG9zaXRvcnk4MzE1ODM2Ng==,web-design-standards,CMSgov/web-design-standards,False,https://github.com/CMSgov/web-design-standards,Open source UI components and visual style guide for U.S. government websites.,True,https://api.github.com/repos/CMSgov/web-design-standards,2017-02-25T19:54:49Z,2024-10-10T23:57:58Z,2024-11-26T01:02:02Z,https://standards.usa.gov,54387,5,5,HTML,False,True,True,True,False,False,3,,False,False,1,True,False,False,[],public,3,1,5,staging,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
85088897,MDEwOlJlcG9zaXRvcnk4NTA4ODg5Nw==,bluebutton-web-deployment,CMSgov/bluebutton-web-deployment,False,https://github.com/CMSgov/bluebutton-web-deployment,Ansible Configuration and Playbooks,False,https://api.github.com/repos/CMSgov/bluebutton-web-deployment,2017-03-15T15:25:57Z,2024-11-21T22:30:05Z,2024-11-22T15:14:52Z,,11065,10,10,Python,True,True,True,True,False,False,5,,False,False,0,True,False,False,"['ansible', 'aws', 'bluebutton', 'django', 'ec2', 'postgresql', 'python', 'python3']",public,5,0,10,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
86107810,MDEwOlJlcG9zaXRvcnk4NjEwNzgxMA==,qpp-conversion-tool,CMSgov/qpp-conversion-tool,False,https://github.com/CMSgov/qpp-conversion-tool,"Conversion tool for QPP, particularly focused on QRDA3 -> QPP, built by Flexion. ",False,https://api.github.com/repos/CMSgov/qpp-conversion-tool,2017-03-24T20:26:32Z,2024-12-17T23:35:32Z,2024-12-17T23:44:25Z,,62636,36,36,Java,True,False,True,False,False,False,62,,False,False,6,True,False,False,"['data-conversion', 'hl7', 'java', 'qpp', 'qppct', 'qrda-iii', 'qrda3']",public,62,6,36,develop,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
91124767,MDEwOlJlcG9zaXRvcnk5MTEyNDc2Nw==,bluebutton-developer-help,CMSgov/bluebutton-developer-help,False,https://github.com/CMSgov/bluebutton-developer-help,Blue Button API Docs,False,https://api.github.com/repos/CMSgov/bluebutton-developer-help,2017-05-12T19:48:08Z,2023-06-28T12:43:43Z,2018-12-03T23:48:34Z,https://cmsgov.github.io/bluebutton-developer-help,2341,4,4,CSS,True,True,True,True,True,False,5,,True,False,1,True,False,False,[],public,5,1,4,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,,,,,,False,False,False,False,True,
91348722,MDEwOlJlcG9zaXRvcnk5MTM0ODcyMg==,bluebutton-sample-client-django,CMSgov/bluebutton-sample-client-django,False,https://github.com/CMSgov/bluebutton-sample-client-django,A Blue Button Sample Client in Django,False,https://api.github.com/repos/CMSgov/bluebutton-sample-client-django,2017-05-15T14:40:26Z,2023-06-28T12:32:52Z,2020-08-25T03:30:25Z,,1116,6,6,CSS,True,True,True,True,False,False,10,,True,False,1,True,False,False,[],public,10,1,6,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
92307951,MDEwOlJlcG9zaXRvcnk5MjMwNzk1MQ==,certwatcher,CMSgov/certwatcher,False,https://github.com/CMSgov/certwatcher,utility to monitor the certificates in use by a host and alert if they're expiring soon,True,https://api.github.com/repos/CMSgov/certwatcher,2017-05-24T15:29:28Z,2021-09-03T16:28:44Z,2019-05-21T21:11:21Z,,30,1,1,Go,False,False,True,False,False,False,3,,False,False,0,True,False,False,[],public,3,0,1,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
94459145,MDEwOlJlcG9zaXRvcnk5NDQ1OTE0NQ==,bluebutton-data-model,CMSgov/bluebutton-data-model,False,https://github.com/CMSgov/bluebutton-data-model,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,False,https://api.github.com/repos/CMSgov/bluebutton-data-model,2017-06-15T16:37:35Z,2023-01-28T17:23:16Z,2019-08-27T19:38:49Z,https://github.com/CMSgov/beneficiary-fhir-data,9536,6,6,Java,True,True,True,True,False,False,5,,True,False,0,True,False,False,[],public,5,0,6,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
94586946,MDEwOlJlcG9zaXRvcnk5NDU4Njk0Ng==,qpp-submissions-schema,CMSgov/qpp-submissions-schema,False,https://github.com/CMSgov/qpp-submissions-schema,QPP Submissions Schema,False,https://api.github.com/repos/CMSgov/qpp-submissions-schema,2017-06-16T22:57:41Z,2023-01-28T17:50:18Z,2018-12-03T23:35:43Z,,6,4,4,JavaScript,True,True,True,True,False,False,5,,True,False,1,True,False,False,[],public,5,1,4,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,,,,,,False,False,False,False,True,
95588277,MDEwOlJlcG9zaXRvcnk5NTU4ODI3Nw==,httpie-edgegrid,CMSgov/httpie-edgegrid,False,https://github.com/CMSgov/httpie-edgegrid,Plugin for httpie to allow edge grid authentication for Akamai,True,https://api.github.com/repos/CMSgov/httpie-edgegrid,2017-06-27T18:24:25Z,2024-08-29T22:02:17Z,2017-06-27T18:25:44Z,,23,0,0,Python,False,True,True,True,False,False,2,,True,False,0,True,False,False,[],public,2,0,0,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
95592670,MDEwOlJlcG9zaXRvcnk5NTU5MjY3MA==,ansible-role-bluebutton-data-pipeline,CMSgov/ansible-role-bluebutton-data-pipeline,False,https://github.com/CMSgov/ansible-role-bluebutton-data-pipeline,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,False,https://api.github.com/repos/CMSgov/ansible-role-bluebutton-data-pipeline,2017-06-27T19:20:12Z,2023-01-28T17:23:17Z,2019-03-01T19:53:30Z,https://github.com/CMSgov/beneficiary-fhir-data,29,0,0,Shell,False,False,True,False,False,False,3,,True,False,0,True,False,False,[],public,3,0,0,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,,,,,,False,False,False,False,True,
95596409,MDEwOlJlcG9zaXRvcnk5NTU5NjQwOQ==,bluebutton-ansible-playbooks-data,CMSgov/bluebutton-ansible-playbooks-data,False,https://github.com/CMSgov/bluebutton-ansible-playbooks-data,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,False,https://api.github.com/repos/CMSgov/bluebutton-ansible-playbooks-data,2017-06-27T20:10:41Z,2023-01-28T17:23:17Z,2019-08-27T19:41:20Z,https://github.com/CMSgov/beneficiary-fhir-data,787,2,2,HCL,False,False,True,False,False,False,9,,True,False,0,True,False,False,[],public,9,0,2,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,,,,,,False,False,False,False,True,
101331587,MDEwOlJlcG9zaXRvcnkxMDEzMzE1ODc=,ansible-role-bluebutton-data-server,CMSgov/ansible-role-bluebutton-data-server,False,https://github.com/CMSgov/ansible-role-bluebutton-data-server,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,False,https://api.github.com/repos/CMSgov/ansible-role-bluebutton-data-server,2017-08-24T19:40:07Z,2023-01-28T17:23:17Z,2019-08-19T14:14:38Z,https://github.com/CMSgov/beneficiary-fhir-data,98,0,0,Shell,False,False,True,False,False,False,1,,True,False,0,True,False,False,[],public,1,0,0,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,,,,,,False,False,False,False,True,
103980213,MDEwOlJlcG9zaXRvcnkxMDM5ODAyMTM=,qpp-file-upload-api-client,CMSgov/qpp-file-upload-api-client,False,https://github.com/CMSgov/qpp-file-upload-api-client,"A set of functions to call the QPP Submissions API in common manner, such as for the file upload use case. ",False,https://api.github.com/repos/CMSgov/qpp-file-upload-api-client,2017-09-18T19:06:47Z,2024-10-01T15:14:08Z,2024-11-27T07:41:17Z,,3130,3,3,JavaScript,True,True,True,True,False,False,3,,False,False,12,True,False,False,['qppsf'],public,3,12,3,develop,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
108745992,MDEwOlJlcG9zaXRvcnkxMDg3NDU5OTI=,bluebutton-site-static,CMSgov/bluebutton-site-static,False,https://github.com/CMSgov/bluebutton-site-static,CMS Blue Button API website and developer docs,False,https://api.github.com/repos/CMSgov/bluebutton-site-static,2017-10-29T15:24:45Z,2024-12-05T20:43:32Z,2024-12-06T16:20:44Z,https://bluebutton.cms.gov,116296,10,10,HTML,True,True,True,True,False,False,12,,False,False,4,True,False,False,[],public,12,4,10,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,,,,,,False,False,False,False,True,
123033237,MDEwOlJlcG9zaXRvcnkxMjMwMzMyMzc=,bluebutton-sample-client-nodejs,CMSgov/bluebutton-sample-client-nodejs,False,https://github.com/CMSgov/bluebutton-sample-client-nodejs,,False,https://api.github.com/repos/CMSgov/bluebutton-sample-client-nodejs,2018-02-26T21:31:50Z,2023-01-28T08:58:50Z,2018-04-02T21:52:56Z,,145,4,4,JavaScript,True,True,True,True,False,False,3,,True,False,0,True,False,False,[],public,3,0,4,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,,,,,,False,False,False,False,True,
124267706,MDEwOlJlcG9zaXRvcnkxMjQyNjc3MDY=,bluebutton-csv-codesets,CMSgov/bluebutton-csv-codesets,False,https://github.com/CMSgov/bluebutton-csv-codesets,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,False,https://api.github.com/repos/CMSgov/bluebutton-csv-codesets,2018-03-07T17:02:35Z,2024-03-26T15:04:38Z,2018-04-20T20:13:52Z,https://github.com/CMSgov/beneficiary-fhir-data,269,5,5,Python,True,True,True,True,False,False,2,,True,False,0,True,False,False,[],public,2,0,5,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
126029563,MDEwOlJlcG9zaXRvcnkxMjYwMjk1NjM=,downshift,CMSgov/downshift,False,https://github.com/CMSgov/downshift,"🏎 Primitives to build simple, flexible, WAI-ARIA compliant enhanced input React components",True,https://api.github.com/repos/CMSgov/downshift,2018-03-20T14:22:52Z,2019-01-29T20:38:03Z,2024-07-22T14:24:51Z,http://downshift.netlify.com/,634,0,0,JavaScript,False,True,True,False,False,False,3,,False,False,1,True,False,False,[],public,3,1,0,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
128416972,MDEwOlJlcG9zaXRvcnkxMjg0MTY5NzI=,bluebutton-data-ccw-db-extract,CMSgov/bluebutton-data-ccw-db-extract,False,https://github.com/CMSgov/bluebutton-data-ccw-db-extract,Deprecated. Migrated into monorepo: https://github.com/CMSgov/beneficiary-fhir-data,False,https://api.github.com/repos/CMSgov/bluebutton-data-ccw-db-extract,2018-04-06T16:07:41Z,2023-01-28T17:23:18Z,2018-05-22T20:23:08Z,https://github.com/CMSgov/beneficiary-fhir-data,127,0,0,PLSQL,True,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,0,master,CMSgov,3209407,MDEyOk9yZ2FuaXphdGlvbjMyMDk0MDc=,Organization,public,False,,,,,,False,False,False,False,True,
